type, taille, temps de remplissage min to max,temps de remplissage aléatoire
ABR,10000,148,1
ABR,10000,145,1
ABR,10000,142,1
ABR,10000,140,1
ABR,10000,141,1
ABR,10000,140,1
ABR,10000,136,2
ABR,10000,133,1
ABR,10000,136,2
ABR,10000,134,2
ABR,10000,140,1
ABR,10000,148,1
ABR,10000,147,1
ABR,10000,145,1
ABR,10000,144,2
ABR,10000,142,2
ABR,10000,146,1
ABR,10000,160,2
ABR,10000,160,2
ABR,10000,138,1
ABR,10000,136,1
ABR,10000,138,2
ABR,10000,149,1
ABR,10000,146,1
ABR,10000,143,1
ABR,10000,135,1
ABR,10000,141,1
ABR,10000,141,2
ABR,10000,141,2
ABR,10000,144,2
ABR,10000,148,1
ABR,10000,142,1
ABR,10000,139,1
ABR,10000,142,1
ABR,10000,147,1
ABR,10000,149,2
ABR,10000,135,1
ABR,10000,145,2
ABR,10000,143,1
ABR,10000,134,1
ABR,10000,139,1
ABR,10000,149,2
ABR,10000,135,1
ABR,10000,136,1
ABR,10000,143,1
ABR,10000,145,2
ABR,10000,150,1
ABR,10000,143,1
ABR,10000,160,1
ABR,10000,149,2
ABR,10000,157,1
ABR,10000,158,2
ABR,10000,161,1
ABR,10000,158,2
ABR,10000,156,1
ABR,10000,158,1
ABR,10000,162,2
ABR,10000,160,1
ABR,10000,149,2
ABR,10000,153,2
ABR,10000,151,1
ABR,10000,156,2
ABR,10000,160,2
ABR,10000,156,1
ABR,10000,148,1
ABR,10000,154,2
ABR,10000,158,1
ABR,10000,155,1
ABR,10000,153,1
ABR,10000,145,1
ABR,10000,155,1
ABR,10000,152,1
ABR,10000,148,1
ABR,10000,142,2
ABR,10000,134,1
ABR,10000,138,2
ABR,10000,138,1
ABR,10000,143,1
ABR,10000,143,2
ABR,10000,163,3
ABR,10000,160,2
ABR,10000,160,2
ABR,10000,162,1
ABR,10000,153,2
ABR,10000,157,2
ABR,10000,161,2
ABR,10000,168,1
ABR,10000,157,1
ABR,10000,142,1
ABR,10000,146,1
ABR,10000,166,1
ABR,10000,156,2
ABR,10000,156,2
ABR,10000,155,2
ABR,10000,150,1
ABR,10000,138,1
ABR,10000,141,2
ABR,10000,137,1
ABR,10000,139,1
ABR,10000,143,1
ABR,10000,136,2
ABR,10000,140,1
ABR,10000,144,1
ABR,10000,140,1
ABR,10000,137,2
ABR,10000,148,1
ABR,10000,160,2
ABR,10000,153,2
ABR,10000,143,1
ABR,10000,143,1
ABR,10000,164,1
ABR,10000,151,1
ABR,10000,150,2
ABR,10000,168,1
ABR,10000,162,2
ABR,10000,161,2
ABR,10000,146,2
ABR,10000,140,1
ABR,10000,146,1
ABR,10000,146,1
ABR,10000,146,2
ABR,10000,146,2
ABR,10000,147,2
ABR,10000,139,1
ABR,10000,140,1
ABR,10000,139,1
ABR,10000,143,1
ABR,10000,132,2
ABR,10000,136,2
ABR,10000,138,1
ABR,10000,145,2
ABR,10000,145,2
ABR,10000,138,1
ABR,10000,141,2
ABR,10000,144,1
ABR,10000,142,1
ABR,10000,141,1
ABR,10000,141,1
ABR,10000,135,1
ABR,10000,135,1
ABR,10000,142,1
ABR,10000,136,1
ABR,10000,140,2
ABR,10000,139,1
ABR,10000,141,1
ABR,10000,156,2
ABR,10000,146,1
ABR,10000,136,2
ABR,10000,148,1
ABR,10000,152,2
ABR,10000,150,1
ABR,10000,149,2
ABR,10000,141,1
ABR,10000,139,1
ABR,10000,139,1
ABR,10000,144,1
ABR,10000,155,2
ABR,10000,143,1
ABR,10000,139,2
ABR,10000,142,1
ABR,10000,143,1
ABR,10000,136,1
ABR,10000,132,1
ABR,10000,133,1
ABR,10000,134,3
ABR,10000,136,1
ABR,10000,140,1
ABR,10000,150,1
ABR,10000,150,1
ABR,10000,160,2
ABR,10000,152,1
ABR,10000,151,1
ABR,10000,157,1
ABR,10000,157,2
ABR,10000,160,2
ABR,10000,150,1
ABR,10000,155,2
ABR,10000,155,1
ABR,10000,154,2
ABR,10000,142,1
ABR,10000,144,1
ABR,10000,155,1
ABR,10000,162,2
ABR,10000,167,2
ABR,10000,155,1
ABR,10000,163,2
ABR,10000,155,2
ABR,10000,156,2
ABR,10000,151,2
ABR,10000,163,2
ABR,10000,163,1
ABR,10000,140,2
ABR,10000,134,2
ABR,10000,147,1
ABR,10000,142,1
ABR,10000,140,1
ABR,10000,139,1
ABR,10000,133,1
ABR,10000,140,1
ABR,10000,135,1
ABR,10000,151,1
ABR,10000,160,1
ABR,10000,148,2
ABR,10000,135,2
ABR,10000,133,1
ABR,10000,134,1
ABR,10000,134,1
ABR,10000,144,1
ABR,10000,143,2
ABR,10000,147,1
ABR,10000,138,1
ABR,10000,139,1
ABR,10000,137,1
ABR,10000,133,1
ABR,10000,136,1
ABR,10000,140,1
ABR,10000,135,2
ABR,10000,145,2
ABR,10000,133,1
ABR,10000,133,1
ABR,10000,131,1
ABR,10000,134,2
ABR,10000,135,1
ABR,10000,139,1
ABR,10000,144,2
ABR,10000,143,2
ABR,10000,142,2
ABR,10000,148,1
ABR,10000,157,1
ABR,10000,159,2
ABR,10000,163,1
ABR,10000,156,2
ABR,10000,162,1
ABR,10000,157,1
ABR,10000,154,1
ABR,10000,151,1
ABR,10000,153,2
ABR,10000,149,2
ABR,10000,154,2
ABR,10000,160,2
ABR,10000,150,2
ABR,10000,138,1
ABR,10000,135,2
ABR,10000,139,1
ABR,10000,134,1
ABR,10000,136,2
